station_flow_id,year,station_id,station_name,morning_entries,morning_exits,midday_entries,midday_exits,evening_entries,evening_exits,night_entries,night_exits,total_entries,total_exits,total_flow,morning_total_flow,midday_total_flow,evening_total_flow,night_total_flow,peak_total_flow,entry_exit_imbalance,bottleneck_score,stop_lat,stop_lon,region,pressure_category
2023_kings_cross,2023,kings_cross,Kings Cross Station,3480,4080,2840,2500,4520,4250,1790,2440,12630,13270,25900,7560,5340,8770,4230,16330,-640,0.6305019305019305,-33.87448343,151.2222282,Sydney CBD,Medium Peak Pressure
2023_kingsgrove,2023,kingsgrove,Kingsgrove Station,790,310,370,250,450,730,170,390,1780,1680,3460,1100,620,1180,560,2280,100,0.6589595375722543,-33.94048235,151.10081465,Northern Sydney,Medium Peak Pressure
2023_kingswood,2023,kingswood,Kingswood Station,810,390,370,310,480,740,250,330,1910,1770,3680,1200,680,1220,580,2420,140,0.657608695652174,-33.75842011,150.72053259,Western Sydney,Medium Peak Pressure
2023_kirrawee,2023,kirrawee,Kirrawee Station,820,290,330,280,340,740,140,250,1630,1560,3190,1110,610,1080,390,2190,70,0.6865203761755486,-34.03497564,151.07121805,Northern Sydney,Medium Peak Pressure
2023_kogarah,2023,kogarah,Kogarah Station,3290,2080,2370,1690,2810,3310,1150,2110,9620,9190,18810,5370,4060,6120,3260,11490,430,0.6108452950558214,-33.96254149,151.13248719,Northern Sydney,Medium Peak Pressure
2023_koolewong,2023,koolewong,Koolewong Station,0,0,0,0,0,0,0,0,70,40,110,0,0,0,0,0,30,0.0,-33.46639025,151.31850646,Eastern Sydney,Low Peak Pressure
2023_kotara,2023,kotara,Kotara Station,0,0,0,0,0,0,0,0,40,60,100,0,0,0,0,0,-20,0.0,-32.94158666,151.69783908,Eastern Sydney,Low Peak Pressure
2023_lakemba,2023,lakemba,Lakemba Station,1230,270,860,660,660,1330,550,890,3300,3150,6450,1500,1520,1990,1440,3490,150,0.5410852713178295,-33.91996087,151.07631124,Northern Sydney,Medium Peak Pressure
2023_lapstone,2023,lapstone,Lapstone Station,0,0,0,0,0,0,0,0,70,70,140,0,0,0,0,0,0,0.0,-33.77345788,150.64280498,Western Sydney,Low Peak Pressure
2023_lawson,2023,lawson,Lawson Station,0,0,0,0,0,0,0,0,110,110,220,0,0,0,0,0,0,0.0,-33.7191006,150.42980295,Western Sydney,Low Peak Pressure
2023_leightonfield,2023,leightonfield,Leightonfield Station,0,0,0,0,0,0,0,0,200,210,410,0,0,0,0,0,-10,0.0,-33.88148108,150.98489517,Western Sydney,Low Peak Pressure
2023_leppington,2023,leppington,Leppington Station,2050,220,430,340,410,1870,430,750,3320,3180,6500,2270,770,2280,1180,4550,140,0.7,-33.95445703,150.80817012,Western Sydney,High Peak Pressure
2023_leumeah,2023,leumeah,Leumeah Station,1240,170,340,250,310,1180,310,480,2200,2080,4280,1410,590,1490,790,2900,120,0.677570093457944,-34.05067661,150.83060671,Western Sydney,Medium Peak Pressure
2023_leura,2023,leura,Leura Station,0,0,0,0,0,0,0,0,270,220,490,0,0,0,0,0,50,0.0,-33.71207455,150.33095833,Western Sydney,Low Peak Pressure
2023_lewisham,2023,lewisham,Lewisham Station,1350,400,420,270,630,1170,180,540,2580,2380,4960,1750,690,1800,720,3550,200,0.7157258064516129,-33.89341703,151.14770641,Northern Sydney,High Peak Pressure
2023_lidcombe,2023,lidcombe,Lidcombe Station,4120,1500,2420,1820,2770,4400,1730,2960,11040,10680,21720,5620,4240,7170,4690,12790,360,0.5888581952117864,-33.86375583,151.04512981,Western Sydney,Medium Peak Pressure
2023_lindfield,2023,lindfield,Lindfield Station,1800,410,630,610,750,1590,180,650,3360,3260,6620,2210,1240,2340,830,4550,100,0.6873111782477341,-33.77552136,151.16927068,Southern Sydney,Medium Peak Pressure
2023_lisarow,2023,lisarow,Lisarow Station,0,0,0,0,0,0,0,0,140,110,250,0,0,0,0,0,30,0.0,-33.38209529,151.37017048,Eastern Sydney,Low Peak Pressure
2023_lithgow,2023,lithgow,Lithgow Station,0,0,0,0,0,0,0,0,180,170,350,0,0,0,0,0,10,0.0,-33.48066213,150.156808,Western Sydney,Low Peak Pressure
2023_liverpool,2023,liverpool,Liverpool Station,2040,2500,2060,1810,2760,2440,980,1110,7840,7860,15700,4540,3870,5200,2090,9740,-20,0.6203821656050955,-33.92492704,150.92732848,Western Sydney,Medium Peak Pressure
